,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,favorites,retweet_count,dog_type,breed,confidence
0,666020888022790149,2015-11-15 22:32:08,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,8,10,None,2560.0,520.0,,Welsh_springer_spaniel,0.465074
1,666029285002620928,2015-11-15 23:05:30,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,7,10,a,131.0,47.0,,redbone,0.506826
2,666033412701032449,2015-11-15 23:21:54,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,9,10,a,125.0,45.0,,German_shepherd,0.596461
3,666044226329800704,2015-11-16 00:04:52,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,6,10,a,301.0,141.0,,Rhodesian_ridgeback,0.408143
4,666049248165822465,2015-11-16 00:24:50,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,5,10,None,109.0,40.0,,miniature_pinscher,0.560311
5,666050758794694657,2015-11-16 00:30:50,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,10,10,a,133.0,58.0,,Bernese_mountain_dog,0.651137
6,666051853826850816,2015-11-16 00:35:11,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,2,10,an,1231.0,859.0,,,
7,666055525042405380,2015-11-16 00:49:46,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,10,10,a,441.0,257.0,,chow,0.692517
8,666057090499244032,2015-11-16 00:55:59,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,9,10,a,299.0,142.0,,golden_retriever,0.00795896
9,666058600524156928,2015-11-16 01:01:59,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,8,10,the,113.0,58.0,,miniature_poodle,0.201493
10,666063827256086533,2015-11-16 01:22:45,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,10,10,the,480.0,223.0,,golden_retriever,0.77593
